entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
LOC1055150,place,STED-REGISTER,River,,,Lagan,Sverige,,,,,
LOC1055200,place,STED-REGISTER,Lake,,,Lago dei Tartari,Italien,,,,,
LOC1055250,place,STED-REGISTER,Lake,,,Lago Maggiore,Italien,,,,,
LOC1055300,place,STED-REGISTER,River,,,Lahn,Tyskland,,,,,
LOC1055350,place,STED-REGISTER,City,,,Laholm,Sverige,,,,,
LOC1055400,place,STED-REGISTER,City,,,Laibach,Tyskland,,,,,
LOC1055450,place,STED-REGISTER,City,,,Lambach,Østrig,,,,,
LOC1055500,place,STED-REGISTER,City,,,Lammhult,Sverige,,,,,
LOC1055550,place,STED-REGISTER,City,,,Landeron,Schweiz,,,,,
LOC1055600,place,STED-REGISTER,City,,,Landskrona,Sverige,,,,,
LOC1055650,place,STED-REGISTER,Island,,,Langeland,Danmark,,,,,
LOC1055700,place,STED-REGISTER,Region,,,Langenfelde (Holsten),Tyskland,,,,,
LOC1055750,place,STED-REGISTER,Lake,,,Langesø,Danmark,,,,,
LOC1055800,place,STED-REGISTER,River,,,Languedoc-Kanalen (Canal du Midi),Frankrig,,,,,
LOC1055850,place,STED-REGISTER,City,,,Langaa (Fyn),Danmark,,,,,
LOC1055900,place,STED-REGISTER,Region,,,Lapland,Finland,,,,,
LOC1055950,place,STED-REGISTER,City,,,Larvik,Norge,,,,,
LOC1056000,place,STED-REGISTER,City,,,Lauenburg,Tyskland,,,,,
LOC1056050,place,STED-REGISTER,City,,,Lausanne,Schweiz,,,,,
LOC1056100,place,STED-REGISTER,City,,,Lauterbrunnen,Schweiz,,,,,
LOC1056150,place,STED-REGISTER,City,,,Lavis,Italien,,,,,
LOC1056200,place,STED-REGISTER,City,,,Lavrbjerg,Danmark,,,,,
LOC1056250,place,STED-REGISTER,Property,,,Laxenburg,Østrig,,,,,
LOC1056300,place,STED-REGISTER,City,,,Laxå,Sverige,,,,,
LOC1056350,place,STED-REGISTER,Lake,,,Lecco-Bugten (Como-Søen),Italien,,,,,
LOC1056400,place,STED-REGISTER,Property,,,Leckö,Sverige,,,,,
LOC1056450,place,STED-REGISTER,City,,,Leeds,England,,,,,
LOC1056500,place,STED-REGISTER,City,,,Lehrte,Tyskland,,,,,
LOC1056550,place,STED-REGISTER,City,,,Leiden,Holland,,,,,
LOC1056600,place,STED-REGISTER,City,,,Leimbach,Tyskland,,,,,
LOC1056650,place,STED-REGISTER,City,,,Leipzig,Tyskland,,,,,
LOC1056700,place,STED-REGISTER,City,,,Leith,Skotland,,,,,
LOC1056750,place,STED-REGISTER,City,,,Leitmeritz,Tjekkiet,,,,,
LOC1056800,place,STED-REGISTER,City,,,Lek,Tyskland,,,,,
LOC1056850,place,STED-REGISTER,Property,,,Lekkende,Danmark,,,,,
LOC1056900,place,STED-REGISTER,City,,,Lemberg (Lwów),Ukraine,,,,,
