v094_id,legacy_id,entity_type,label,resolves
WOR013150,Reg002762,work,"Raasløff, Anna",yes
WOR013200,Reg002969,work,"Schröder, Wilhelm",yes
WOR013250,Reg003058,work,"Soldi, David",yes
WOR013300,Reg003160,work,"Szendrey, Julia",yes
WOR013350,Reg003521,work,"Zeise, Heinrich",yes
WOR013400,Reg000339,work,Bertall (Pseud. f. Charles-Albert d'Arnoux),yes
WOR013450,Reg000477,work,"Christensen, Lauritz Daniel",yes
WOR013500,Reg001400,work,"Frølich, Lorenz",yes
WOR013550,Reg001496,work,"Gubitz, F. W.",yes
WOR013600,Reg001792,work,"Jerichau-Baumann, Elisabeth. (Lampeskærm med Eventyrfigurer)",yes
WOR013650,Reg001884,work,"Kaulbach, Wilhelm von (Engelen)",yes
WOR013700,Reg001947,work,"Krohn, Pietro (Omslag til: »Dryaden«)",yes
WOR013750,Reg002288,work,"Malmström, J. A.",yes
WOR013800,Reg002385,work,"Meyer, Friederich Rudolph",yes
WOR013850,Reg002426,work,"Mollerup, Marie",yes
WOR013900,Reg002666,work,"Pedersen, Vilh.",yes
WOR013950,Reg002731,work,"Price, Albert",yes
WOR014000,Reg003078,work,"Speckter, Otto",yes
WOR014050,Reg000939,work,Digte (i Almindelighed),yes
WOR014100,Reg002444,work,Musik til Digte af HCA,yes
WOR014150,Reg002682,work,Phantasier og Skizzer (1831),yes
WOR014200,Reg003453,work,Vignetter til danske Digtere (1832),yes
WOR014250,Reg000132,work,Aarets tolv Maaneder (1833),yes
WOR014300,Reg002924,work,Samlede Digte (1833),yes
WOR014350,Reg001433,work,Gedichte. Deutsch von H. Zeise (1846),yes
WOR014400,Reg001406,work,Fædrelandske Vers og Sange under Krigen (1851),yes
WOR014450,Reg001896,work,Kjendte og glemte Digte (1867),yes
WOR014500,Reg000126,work,A. Henselt (»Fra Strengene flyver en Fuglehær -«),yes
WOR014550,Reg000020,work,*»Aabne Strand ved Corselitze -«,yes
WOR014600,Reg000164,work,Aftendæmring,yes
WOR014650,Reg000168,work,Agnes Dunlop og Michael Rosing (Dedikation i et Eksemplar af Eventyr og Historier 1862),yes
WOR014700,Reg000673,work,Den 2den Februar 1864. Ved Emma Hartmanns og F. Wedels Bryllup,yes
WOR014750,Reg000021,work,"*»Bag Rendsborgs gamle Volde -« (I Fru Lønborgs Album, Rendsborg 1860)",yes
WOR014800,Reg000022,work,*»Bag Stjernen paa dit Bryst et Hjerte slaaer -« (l Grev E. F. von Saltzas Stambog 1849),yes
WOR014850,Reg003597,work,»Barn Jesus i en Krybbe laae -« (Aarets tolv Maaneder),yes
WOR014900,Reg001193,work,Et Barns Skriftemaal,yes
WOR014950,Reg003598,work,"»Bibelens Job, ham kjender Du vel -« (I Spanien)",yes
WOR015000,Reg000361,work,Billedstormerne,yes
