collin_surname,collin_given_names,collin_birth_year,collin_death_year,match_tier,match_count,match_reg_ids,match_labels
Bredsdorff,"Ulrikke Antoinette, f. Schlegel",1766,1850,surname_year_mismatch,5,Reg0042080;Reg0042090;Reg0042100;Reg0042110;Reg0042120,"Bredsdorff, Chr. (1836–1892) | Bredsdorff, Hanne (1840–1906) | Bredsdorff, Jacob Hornemann (1790–1841) | Bredsdorff, Petrine, f. Møller (1801–1859) | Bredsdorff, Ulrikke Palline Wilhelmine (1799–1883)"
Bredsdorff,Ulrikke Palline Wilhelmine,1799,1883,exact,1,Reg0042120,"Bredsdorff, Ulrikke Palline Wilhelmine (1799–1883)"
Bregendahl,L. N.,1811,1872,exact,1,Reg0042130,"Bregendahl, L. N. (1811–1872)"
Bremer,Fredrika,1801,1865,exact,1,Reg0042200,"Bremer, Fredrika (1801–1865)"
Brenner,"Emma, f. Kron",1823,1875,exact,1,Reg0042220,"Brenner, Emma, f. Kron (1823–1875)"
Brenner,Johann Carl,1814,1883,exact,1,Reg0042240,"Brenner, Johann Carl (1814–1883)"
Bretton,"Emil v., Baron",1830,1890,surname_year_mismatch,4,Reg0042310;Reg0042320;Reg0042330;Reg0042340,"Bretton, Astley Paston Cooper, Baron (1829–1869) | Bretton, Florence, Baronesse (1851–1926) | Bretton, Gertrud Elisabeth de, Baronesse, f. Lilienskiold (1808–1890) | Bretton, Louise, Baronesse, f. Kjerulff (1827–1902)"
Brix,Harald,1841,1881,surname_only,2,Reg0042560;Reg0042570,"Brix, Frederiksholm, Sjælland (Sengeløse S.?) | Brix, Frue"
Broberg,C. A.,1846,1917,surname_only,2,Reg0042610;Reg0042630,"Broberg | Broberg, Chr. & Søn"
Brockdorff,Ferdinand Schack,1814,1881,exact,1,Reg0042700,"Brockdorff, Ferdinand Schack (1814–1881)"
Brockdorff,Frants Biilow Schack,1816,1906,surname_only,3,Reg0042660;Reg0042670;Reg0042680,"Brockdorff, se også: Juel-Brockdorff. | Brockdorff | Brockdorff, Frøknerne"
Brockdorff,"Ulrich, Baron",1806,1875,surname_only,3,Reg0042660;Reg0042670;Reg0042680,"Brockdorff, se også: Juel-Brockdorff. | Brockdorff | Brockdorff, Frøknerne"
Brockenhuus,"Frederik, Greve",1758,1846,exact,1,Reg0042750,"Brockenhuus, Frederik (1758–1846)"
Brockenhuus-Schack,"Knud, Greve",1823,1892,exact,1,Reg0042820,"Brockenhuus-Schack, Knud, Greve (1823–1892)"
Brockhaus,Friedrich,1800,1865,exact,1,Reg0042850,"Brockhaus, Friedrich (1800–1865)"
Brockhaus,Heinrich,1804,1874,exact,1,Reg0042870,"Brockhaus, Heinrich (1804–1874)"
