seq,year_inferred,date_raw,text_da,section_label,source_file
128,1868,23.5.—1.6.,Genève. Gæst hos Jules Jürgensen.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
129,1868,28.5.,Udflugt til Nyon.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
130,1868,1.6.,Fra Genève til Ouchy.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
131,1868,1.6.—3.6.,Ouchy.,Tidstavle 1868-1870,hcadag08_010_X.xhtml
132,1871,1.1.—7.5.,København.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
133,1871,27.1.—28.1.,Paris kapitulerer.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
134,1871,28.3.—29.5.,Kommunen i Paris.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
135,1871,29.4.,Flyttet til Hotel d'Angleterre.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
136,1871,7.5.,Fra København til Espe.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
137,1871,7.5—11.5.,Espe.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
138,1871,11.5.—6.6.,Basnæs.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
139,1871,6.6.,Fra Basnæs til København.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
140,1871,6.6.—25.7.,"København, Rolighed.",Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
141,1871,17.6.,Moritz og Dorothea Melchiors sølvbryllup.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
142,1871,25.7.—26.7.,"Fra København over Helsingør (overnatning 25.7.) til Jönköping.",Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
143,1871,26.7.—28.7.,Jönköping.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
144,1871,28.7.,Fra Jönköping til Göteborg.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
145,1871,28.7.—2.8.,Göteborg. Det 13. almindelige svenskelandbrugsmøde.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
146,1871,2.8.—4.8.,"Fra Göteborg over Karlstad (overnatning 2.8.) og Kongsvinger (overnatning 3.8.) til Christiania.",Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
147,1871,4.8.—25.8.,Christiania. Udflugter i omegnen.,Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
148,1871,9.8.—10.8.,"Udflugt til Ringerike (Tyrifjord, Hønefos, Drammen) med BjørnstjerneBjørnson m.fl.",Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
149,1871,18.8.,"Fest for H. C. Andersen i den botaniske Have.",Tidstavle 1871-1872,hcadag09_008_VIII.xhtml
150,1873,1.1.—14.4.,København.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
151,1873,23.2.,Kongen besøger H. C. Andersen.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
152,1873,11.4.,H. C. Andersen modtages af kongen ogdronningen.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
153,1873,12.4.—14.4.,Hotel Royal.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
154,1873,14.4.—17.4.,"Med Nicolai Bøgh fra København overKorsør (overnatning 14.4.), Fredericia(overnatning 15.4.) og Slesvig (overnatning 16.4.) til Hamburg.",Tidstavle 1873-1875,hcadag10_012_XII.xhtml
155,1873,17.4.—19.4.,Hamburg.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
156,1873,19.4.,Fra Hamburg til Hannover.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
157,1873,19.4.—21.4.,Hannover.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
158,1873,21.4.—23.4.,Fra Hannover over Kassel (overnatning21.4.) og Giessen (overnatning 22.4.) tilFrankfurt.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
159,1873,23.4.—25.4.,Frankfurt.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
160,1873,25.4.,Fra Frankfurt til Heidelberg.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
161,1873,25.4.—27.4.,Heidelberg.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
162,1873,27.4.—29.4.,"Fra Heidelberg over Offenburg (overnatning 27.4.) og Basel (overnatning 28.4.)til Bern.",Tidstavle 1873-1875,hcadag10_012_XII.xhtml
163,1873,29.4.—1.5.,Bern.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
164,1873,1.5.,Fra Bern til Vevay.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
165,1873,1.5.—4.5.,Vevay.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
166,1873,4.5.—11.5.,Vernex.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
167,1873,11.5.—1.6.,Glion.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
168,1873,1.6.,Fra Glion til Genève.,Tidstavle 1873-1875,hcadag10_012_XII.xhtml
