surname_norm	status	min_entry_id	min_surname	min_given_names	min_birth_year	min_death_year	min_description	min_references	xlsx_surname	xlsx_given_names	xlsx_birth_year	xlsx_death_year	xlsx_description
berg	matchet_person_men_beskrivelse_afviger	PerXI00641	Berg				Frue, f. Simonsen, Datter af Sophus S., Søster til Niels Juel Simonsen.	IX:57	Berg	Frue, f. Simonsen			Datter af Sophus S., Søster til Niels Juel Simonsen.
berg	kun_min	PerXI00642	Berg	Balthasar	1804	1884	Distriktslæge i Viborg 1853-78, Justitsraad 1878.	IV:362;IV:363;IV:364					
berg	matchet_person_men_beskrivelse_afviger	PerXI00643	Berg	C.	1829	1891	Politiker, Førstelærer paa Bogø 1861-74.	VII:196;X:358;X:408	Berg	C.	1829	1891	Politiker, Førstelærer på Bogø 1861–1874.
berlichingen	kun_min	PerXI00664	Berlichingen	Gotz von	1480	1562	tysk Ridder.	IV:184;IV:185					
berling	matchet_person_men_beskrivelse_afviger	PerXI00665	Berling	Carl	1812	1871	Bogtrykker, Udgiver af »Berlingske Tidende«, 1849 Kammerherre, 1851 Rejsemarskal hos Kong Frederik VII, 1857 Generalintendant for Civillisten, Afsked 30.12.1859.	IV:20;IV:376;IV:377	Berling	Carl	1812	1871	Bogtrykker, Udgiver af »Berlingske Tidende«, 1849 Kammerherre, 1851 Rejsemarskal hos Kong Frederik VII, 1857 Generalintendant for Givillisten, Afsked 30.12.1859.
berling	kun_min	PerXI00667	Berling	Tora Maria, f. Nilsson	1826	1914	g. 1852 m. E.W.B.	VI:304;VI:305					
berner	kun_min	PerXI00673	Berner	Amalia, f. Bugel	1804	1842	Datter af Catharina B., Enke efter Generalkonsul i Tunis Edward B.	II:285;II:286					
berner	kun_min	PerXI00675	Berner				Betzy, f. Wright (død 1914, 80 Aar gl.), g. m. A.B.	IX:227;IX:321					
berner	matchet_person_men_beskrivelse_afviger	PerXI00677	Berner	Gottlob	1823	1914	Søn af Johanne B., Teatersekretær ved Det kgl. Teater, 1866-76 Intendant sst.; Kammerassessor, 1861 Justitsraad, senere Etatsraad.	V:92;V:94;V:119;V:417;VI:156;VI:158;VI:159;VI:183;VI:208;VI:266;VI:269;VI:312;VI:319;VI:347;VII:14;VII:15;VII:16;VII:190;VII:218;VII:234;VII:246;VIII:23;VIII:203;VIII:417;VIII:423;IX:34;IX:140;IX:145;IX:182;IX:227;IX:235;IX:236;IX:239;X:4;X:149;X:334;X:362;X:440	Berner	Gottlob	1823	1914	Søn af Johanne B., Teatersekretær ved Det kgl. Teater, 1866–1876 Intendant sst.; Kammerassessor, 1861 Justitsraad, senere Etatsraad.
berner	kun_min	PerXI00679	Berner	Iwan	1850	1925	Student 1869, cand. phil., studerede Engelsk, 1875 ansat i Store nordiske Telegrafselskab, senere Direktør sst., Forfatter og Oversætter.	X:344;X:345					
berner	kun_xlsx								Berner	Betzy, f. Wright		1914	g. m. A.B.
bernini	kun_min	PerXI00689	Bernini	Lorenzo	1598	1680	italiensk Billedhugger og Arkitekt.	I:289;I:380					
beronius	kun_min	PerXI00695	Beronius	Jonas Otto	1820	1895	fil. kand., svensk »Gluntar«-Sanger, senere Ministerialembedsmand.	III:318;III:319					
berry	kun_min	PerXI00700	Berry	Grevinde, »født i Svendborg«, Paris 19.4.1867. VII 269. Bertall (Pseud. for Charles-Albert d'Arnoux)	1820	1883	fransk Illustrator af HCA.s Eventyr og Fotograf (Bayard & Bertall).	VII:80					
berry	kun_xlsx								Berry	Grevinde			»født i Svendborg«, Paris 19.4.1867.
bikelas	kun_min	PerXI00754	Bikelas	Demitrios	1835	1908	nygræsk Digter, Oversætter og Essayist, Oversætter af HCA.s Eventyr.	X:251;X:252					
bille-brahe	kun_min	PerXI00771	Bille-Brahe	Camilla Sofia, Baronesse, f. af Harmens	1829	1890	g. 1850 m. Preben B.-B. (1824-82).	VII:59;VII:60;VII:61;VII:62					
bille-brahe	matchet_person_men_beskrivelse_afviger	PerXI00772	Bille-Brahe	Christian, Baron	1819	1899	Søn af Lensgreve Preben B.-B., kst. Stiftamtmand over Fyns Stift 1848-51, senere Stiftamtmand over Sjællands Stift og Amtmand over Københavns Amt, Kammerherre 1852, Gehejmekonferensraad 1889.	III:402;III:403;V:151;VIII:369;X:235	Bille-Brahe	Christian, Baron	1819	1899	Søn af Lensgreve Preben B.-B., kst. Stiftamtmand over Fyns Stift 1848–1851, senere Stiftamtmand over Sjællands Stift og Amtmand over Københavns Amt, Kammerherre 1852, Gehejmekonferensraad 1889.
bille-brahe	kun_min	PerXI00773	Bille-Brahe	Henrik, Greve	1798	1875	Søn af Lensgreve Preben B.-B., dansk Gesandt i Wien 1847-62, Lensgreve 1857, Gehejmekonferensraad 1855.	IV:136;IV:137					
bille-brahe	matchet_person_men_beskrivelse_afviger	PerXI00774	Bille-Brahe	Jessie, Baronesse	1853	1927	Datter af Preben B.-B. (1824- 82), g. 1875 m. Kammerherre Grev Julius Ahlefeldt-Laurvig-Bille til Skovsbo og Fjellebro.	VII:59	Bille-Brahe	Jessie, Baronesse	1853	1927	Datter af Preben B.-B. (1824–1882), g. 1875 m. Kammerherre Grev Julius Ahlefeldt-Laurvig-Bille til Skovsbo og Fjellebro.
bille-brahe	matchet_person_men_beskrivelse_afviger	PerXI00775	Bille-Brahe	Maria, Baronesse, f. Komtesse Moltke	1827	1889	Datter af A. W. Moltke, g. 1852 m. Christian Bille- Brahe. VII 185. X 235. — Se ogsaa: Moltke, Maria. Bille-Brahe, Preben, Lensgreve (1773- 1857), Besidder af Grevskabet Brahesminde, Egeskov og Svanholm, Gehejmekonferensraad.	III:4	Bille-Brahe	Maria, Baronesse, f. Komtesse Moltke	1827	1889	Datter af A. W. Moltke, g. 1852 m. Christian Bille-Brahe.
bille-brahe	kun_xlsx								Bille-Brahe	Preben, Lensgreve	1773	1857	Besidder af Grevskabet Brahesminde, Egeskov og Svanholm, Gehejmekonferensraad.
bilsted	kun_min	PerXI00777	Bilsted	Anna Elisabeth Helene Caroline	1841	1928	Datter af E.F.A.B., g. 1866 m. Løjtnant i Søetaten, senere Viceadmiral Fr.P.A.Uldall.	VII:15;VII:16					
bilsted	matchet_person_men_beskrivelse_afviger	PerXI00778	Bilsted	Anna Felicia	1843	1901	Datter ai E.F.A.B., g. 1866 m. Løjtnant i Søetaten, senere Ejer af Kirstinebjerg og Jægermester, Sophus Carl Hillerup.	VII:15	Bilsted	Anna Felicia	1843	1901	Datter af E.F.A.B., g. 1866 m. Løjtnant i Søetaten, senere Ejer af Kirstinebjerg og Jægermester, Sophus Carl Hillerup.
birch	kun_min	PerXI00795	Birch				Frue i Aarhus, hos hvem Carl Melchior boede i 1874, da han arbejdede i Firmaet Adler, Wulff & Meyer.	X:249					
birch	matchet_person_men_beskrivelse_afviger	PerXI00796	Birch				Frøken, Bremen 18.6.1844.	II:391	Birch	Frøken			Bremen 18.6.1844.
birch	matchet_person_men_beskrivelse_afviger	PerXI00798	Birch	Christian	1760	1829	Finansdeputeret, 1821 dømt fra Ære og Embede og hensat i Fængsel paa Livstid.	I:429	Birch	Christian	1760	1829	Finansdeputeret, 1821 dømt fra Ære og Embede og hensat i Fængsel på Livstid.
birch	matchet_person_men_beskrivelse_afviger	PerXI00800	Birch	F. C. C.	1812	1889	Søn af P.L.B., Student fra Slagelse 1829, cand.philol. 1836, Adjunkt ved Sorø Akademis Skole 1837, Overlærer i Vordingborg 1841 og ved Metropolitanskolen 1844, Rektor i Horsens 1849, ved Metropolitanskolen 1871-82, tit. Professor 1858, Etatsraad 1882.	II:286;VIII:403;IX:234	Birch	F. C. C.	1812	1889	Søn af P.L.B., Student fra Slagelse 1829, cand. philol. 1836, Adjunkt ved Sorø Akademis Skole 1837, Overlærer i Vordingborg 1841 og ved Metropolitanskolen 1844, Rektor i Horsens 1849, ved Metropolitanskolen 1871–1882, tit. Professor 1858, Etatsraad 1882.
birch	kun_min	PerXI00804	Birch	Vilhelm Ludvig	1817	1871	Søn af P.L.B., Student fra Slagelse 1835, cand.jur. 1841, 1861 Guvernør i Dansk Vestindien.	VIII:403;VIII:404					
birch	kun_xlsx								Birch				Frue i Aarhus, hos hvem Carl Melchior boede i 1874, da han arbejdede i Firmaet Adler, Wulff & Meyer.
bjerregaard	kun_min	PerXI00825	Bjerregaard	Hans	1766	1860	Sognepræst for Hjermind, Le og Hjorthede 1798-1857, Konsistorialraad, Plantningsmand, Forfatter.	IV:360;IV:361;IV:362					
bjornstjerna	kun_min	PerXI00845	Bjornstjerna	Oscar Magnus Fredrik, Greve	1819	1905	svensk Generalmajor, 1864 svensk Minister ad interim i København, Udenrigsminister 1872- 80.	IX:137					
blokhuis	kun_min	PerXI00888	Blokhuis	Gijsbert	1809	1885	hollandsk Tobaksfabrikant, og Søn.	VI:250;VI:251					
blum	kun_min	PerXI00902	Blum				svensk Sekretær, Paris 19.4.1843.	II:349					
blum	kun_min	PerXI00903	Blum	Karl	1785	1844	tysk Skuespilforfatter.	IV:56;IV:57					
blum	kun_xlsx								Blum				Svensk Sekretær, Paris 19.4.1843.
blædel	matchet_person_men_beskrivelse_afviger	PerXI00911	Blædel	Nicolai Dons	1845	1926	Søn af N.G.B., Forpagter paa Erholm ved Aarup, senere Kordegn ved Lukas Kirke i København.	X:65	Blædel	Nicolai Dons	1845	1926	Søn af N.G.B., Forpagter på Erholm ved Aarup, senere Kordegn ved Lukas Kirke i København.
blædel	kun_min	PerXI00913	Blædel	Otto Werner Secher	1825	1903	Broder til Ludvig B., senere Fabriksbestyrer i Odense og Grosserer i København.	III:187;III:188					
bodenhoff	kun_min	PerXI00927	Bodenhoff	Hans Carl	1791	1849	Kaptajn i Søetaten, 1834 Chef for Skonnerten Elben, 1842 Kommandørkaptajn, Afsked 1847 m. Kommandørs Karakter.	I:509;I:510					
bodenhoff	matchet_person_men_beskrivelse_afviger	PerXI00928	Bodenhoff	Ludvig	1791	1871	fhv. Landmand, 1856-64 Værtshusholder i Kbh.	V:120	Bodenhoff	Ludvig	1791	1871	fhv. Landmand, 1856–1864 Værtshusholder i Kbh.
bokelmann	kun_min	PerXI00952	Bokelmann	Georg Wilhelm	1779	1847	dansk Ministerresident i Hansestæderne og Generalkonsul i Lübeck.	I:116;I:117					
bolyovsky	kun_min	PerXI00955	Bolyovsky	Lilla, f. von Szilagyi	1834	1909	Skuespillerinde ved Hofteatret i München, Forfatterinde, g.m. Julius von B., Edler von Gyulasalva, Pest.	V:109;V:110					
bosboom	kun_min	PerXI01004	Bosboom	Johannes	1817	1891	hollandsk Maler.	VII:60;VII:61;VII:62					
bosboom-toussaint	kun_min	PerXI01005	Bosboom-Toussaint	Anna, f. Toussaint	1812	1886	hollandsk Romanforfatterinde, g. 1851 m. J.Bosboom.	VII:60;VII:61					
