kind	our_entry_id	our_name	reference_name	reference_desc	shared_page_refs
name_differs	PerXI06941	Raben, Elisabeth (Lise)	Raben, Elisabeth (Lise) (1782–1864)	Søster til Carl Vilhelm Raben-Levetzau, Klosterfrøken i St. Johannis Kloster ved Slesvig.	III:3;III:5;III:286;III:419;IV:25;IV:73
name_differs	PerXI06945	Raben-Levetzau, Julia, f. Borncmann	Raben-Levetzau, Julia, f. Bornemann (1808–1888)	g.1830 m. Carl Vilhelm R.-L., 1876 Overhofmesterinde hos Dronning Louise af Danmark.	II:290;II:294;III:222;V:387;VIII:348;X:236
name_differs	PerXI07035	Recke-Madsen, Caroline, f. Lumbye	Redern, Alexandra von, Grevinde, f. Friherreinde von Pahlen (død 1846)	Enke efter preussisk Gesandt i London, Kammerherre, Grev Sigismund von R., Overhofmesterinde hos Arvestorhertuginde Sophie af Sachsen-Weimar-Eisenach.	III:48;III:50;III:52;III:56
name_differs	PerXI07049	Reedtz-Thott, Elisabeth, Lensbaronesse, f. Bülow	Reedtz-Thott, Elisabeth, Lensbaronesse, f. Biilow (1841–1909)	Datter af Johan Biilow, g. 1864 m. Tage R.-T.	VII:197;VII:225;VII:274;VII:324;VIII:260
name_differs	PerXI07142	Rhode	Ribbing, Sofia Amalia (1835–1894)	Svensk Malerinde.	V:47;V:54
name_differs	PerXI07169	Riegels, Frederikke	Riegels, H. G. (1793–1861)	Broder til F.W.R., Generalkrigskommissær, 1848–1850 Kommandant på Als, 1850 kar. Oberst, Ejer af Snoghøj, Skovdyrker.	II:268;III:401;III:422;III:425
name_differs	PerXI07214	Robinson	Robinson, E.	Søn af Therese R.	IV:85;IV:101;IV:103;IV:112
name_differs	PerXI07215	Robinson	Robinson, Mary A.	Datter af Therese R.	IV:85;IV:101;IV:103;IV:104;IV:112
name_differs	PerXI07224	Rochussen, Karel (Charles)	Rochussen, Karel (Charles) (1814–1894)	Son af Hendrik R., hollandsk Maler.	III:199;III:201
name_differs	PerXI07310	Rosenørn, Christine (Stine)	Rosenørn, Christine (Stine) (1821–1899)	Datter af Ingeborg R.	IV:204;VI:325;VI:329
name_differs	PerXI07358	Rottbøll, Ottilie	Rottweiler & Bauer	Bankierfirma i Madrid.	VII:96;VII:97
name_differs	PerXI07425	Ryge, J. C.	Ryge, J. G. (1780-1842)	dr.med., Skuespiller ved Det kgl. Teater 1813–1842.	I:35;I:480;VI:275;VII:370;IX:58
name_differs	PerXI07431	Ræder, Juliane (Julie)	Ræder, Juliane (Julie) (1836–1914)	Datter af Jacob R., g. 1873 m. Kammerherre, Hofjægermester, Oberstløjtnant Hans Gustav Grüner.	VII:80;VII:207
name_differs	PerXI07545	Salm-Reifferscheidt, Robert Anton zu, Altgraf	Salomon, David (døbt Julius Diedrich Slomann) (1805–1857)	Søn af Wulf S., senere Grosserer i København.	I:121;I:123
name_differs	PerXI07579	Sand, Georges (Pseud. f. Aurore Dudevant, f. Dupin)	Sand, Georges (Pseud. f. Aurore Dudevant, f. Dupin) (1804–1876)	Fransk Forfatterinde.	II:361;V:86;VII:81;VII:108;VII:198;VII:351
name_differs	PerXI07673	Scharling, C. E.	Scharling, G. E. (1803–1877)	Lektor ved Sorø Akademi, 1834 Professor i Theologi ved Københavns Universitet.	I:118;V:123;IX:28
name_differs	PerXI07722	Scheltema, Carel Steven Adama van, se: Adama van Scheltema, C. S. Schenk, Eduard von	Schenk, Eduard von (1788–1841)	tidligere Indenrigsminister i Bayern, Skuespilforfatter.	I:419;II:60
name_differs	PerXI07813	Schmidt, Emilie (Emmy)	Schmidt, Emilie (Emmy) (1831–1915)	Lærerinde på Holsteinborg.	VI:344;VI:351
name_differs	PerXI07892	Schram, se ogsaa: Skram. Schram (Skram), Gustav	Schram (Skram), Gustav (1802–1865)	Fuldmægtig i Enkekassens Bogholderikontor, Lærer i Fransk ved Søkadetakademiet, senere Jernbanedirektør.	I:154;I:156;V:440
name_differs	PerXI08016	Seidelin, se: Brinck-Seidelin, H. D. Seidl, Johann Gabriel	Seidl, Johann Gabriel (1804–1875)	Østrigsk Digter, Kustos ved Mønt- og Antikkabinettet i Wien, 1867 Regierungsrat.	I:490;III:72;III:75;III:76
