person_id,reg_id,tier,register_name,live_label,shared_pages,note
HCAP08288,Reg0112010,exact_name,"Schiller, Friedrich Ludwig Ernst von, Friherre","Schiller, Friedrich Ludwig Ernst von, Friherre (1826–1877)",0,
HCAP08289,Reg0112020,exact_name,"Schiller, Karl von, Friherre","Schiller, Karl von, Friherre (1793–1857)",0,
HCAP08290,Reg0112030,exact_name,Schimmelmann,Schimmelmann,1,
HCAP08291,Reg0112040,exact_name,"Schimmelmann, Ernst, Greve","Schimmelmann, Ernst, Greve (1747–1831)",1,
HCAP08292,Reg0112050,exact_name,"Schimmelmann, Heinrich, Lensgreve 1724–82)","Schimmelmann, Heinrich, Lensgreve 1724–82)",1,
HCAP08293,Reg0112060,exact_name,"Schimmelpenninck van der Oije, Alexander, Baron","Schimmelpenninck van der Oije, Alexander, Baron (1796–1877)",1,
HCAP08294,Reg0112070,exact_name,"Schindel, Sophie Amalie von, f. Moltke","Schindel, Sophie Amalie von, f. Moltke (1807–1892)",1,
HCAP08295,Reg0112080,exact_name,"Schinkel, Susanne, f. Berger","Schinkel, Susanne, f. Berger (1782–1861)",1,
HCAP08296,Reg0112090,exact_name,"Schirach, Wilhelm von","Schirach, Wilhelm von (1779–1866)",1,
HCAP08297,Reg0112120,exact_name,"Schirmer, Heinrich Ernst","Schirmer, Heinrich Ernst (1814–1887)",1,
HCAP08298,Reg0112130,exact_name,"Schirmer, Johann Wilhelm","Schirmer, Johann Wilhelm (1807–1863)",1,
HCAP08299,Reg0112140,exact_name,"Schive, H. J. Th. C.","Schive, H. J. Th. C. (død 1869, 50 år gl.)",1,
HCAP08300,Reg0112150,exact_name,Schiødt,Schiødt,1,
HCAP08301,Reg0112160,exact_name,"Schiødte, J. C.","Schiødte, J. C. (1815–1884)",8,
HCAP08302,Reg0112170,exact_name,"Schiøtt, Charlotte Ophelia, f. Richter","Schiøtt, Charlotte Ophelia, f. Richter (1809–1896)",0,
HCAP08303,Reg0112180,exact_name,"Schiøtt, Frederik","Schiøtt, Frederik (1798–1861)",0,
HCAP08304,Reg0112190,exact_name,"Schiøtz, Otto Mandrup","Schiøtz, Otto Mandrup (1806–1880)",4,
HCAP08305,Reg0112200,exact_name,"Schjørring, Elvira, f. Teilmann","Schjørring, Elvira, f. Teilmann (1830–1880)",2,
HCAP08306,Reg0112210,exact_name,"Schjørring, Johanne, f. Krohn","Schjørring, Johanne, f. Krohn (1836–1910)",0,
HCAP08307,Reg0112220,exact_name,"Schjørring, P.","Schjørring, P. (1831–1913)",2,
HCAP08308,Reg0112230,exact_name,Schlegel,Schlegel,1,
HCAP08309,Reg0112240,exact_name,"Schlegel, August Wilhelm","Schlegel, August Wilhelm (1767–1845)",2,
HCAP08310,Reg0112250,exact_name,"Schlegel, Carl Frederik Adolph","Schlegel, Carl Frederik Adolph (1809–1878)",8,
HCAP08311,Reg0112260,exact_name,"Schlegel, Cornelia, f. Buddingh","Schlegel, Cornelia, f. Buddingh (1815–1864)",1,
HCAP08312,Reg0112270,exact_name,"Schlegel, Frederik","Schlegel, Frederik (1817–1896)",1,
HCAP08313,Reg0112280,exact_name,"Schlegel, Hermann","Schlegel, Hermann (1804–1884)",1,
HCAP08314,Reg0112290,exact_name,"Schleich, Martin","Schleich, Martin",1,
HCAP08315,Reg0112300,exact_name,Schleiermacher,Schleiermacher,1,
HCAP08316,Reg0112310,exact_name,"Schleiermacher, Friedrich Daniel Ernst","Schleiermacher, Friedrich Daniel Ernst (1768–1834)",0,
HCAP08317,Reg0112320,exact_name,"Schleisner, Julie Jacobine, f. Bastrup","Schleisner, Julie Jacobine, f. Bastrup (1814–1898)",1,
HCAP08318,Reg0112330,exact_name,"Schleppegrell, F. A.","Schleppegrell, F. A. (1792–1850)",4,
HCAP08319,Reg0112340,exact_name,"Schleppegrell, F. A. d. Y.","Schleppegrell, F. A. d. Y. (1838–1905)",1,
HCAP08320,Reg0112360,exact_name,"Schlesinger, Jakob","Schlesinger, Jakob (1792–1855)",1,
HCAP08321,Reg0112380,exact_name,"Schletter, Adolf Heinrich","Schletter, Adolf Heinrich (1793–1853)",1,
HCAP08322,Reg0112400,exact_name,"Schley, Ludolph","Schley, Ludolph (1798–1859)",1,
HCAP08323,Reg0112410,exact_name,"Schlicht, Carl von","Schlicht, Carl von (1833–1912)",0,
HCAP08324,Reg0112420,exact_name,"Schlichten, J. P. von der","Schlichten, J. P. von der (1681–1745)",1,
HCAP08325,,ambiguous,Schlichtkrull,,0,
HCAP08326,Reg0112430,name_and_overlap,Schlichtkrull,Schlichtkrull,1,
HCAP08327,Reg0112450,exact_name,"Schlick, Benjamin","Schlick, Benjamin (1796–1872)",4,
HCAP08328,Reg0112460,exact_name,"Schlick, Gustav","Schlick, Gustav (1804–1869)",1,
HCAP08329,Reg0112470,exact_name,"Schloming, Julius og Henry","Schloming, Julius og Henry",2,
HCAP08330,Reg0112480,exact_name,"Schlotthauer, Joseph","Schlotthauer, Joseph (1789–1869)",1,
HCAP08331,Reg0112490,exact_name,"Schlönbach, Arnold","Schlönbach, Arnold (1807–1866)",1,
HCAP08332,Reg0112510,exact_name,"Schmaltz, Lorentz von","Schmaltz, Lorentz von (1835–1906)",3,
HCAP08333,Reg0112520,exact_name,"Schmalz, Amtmand (med to Døtre)","Schmalz, Amtmand (med to Døtre)",3,
HCAP08334,Reg0112530,exact_name,"Schmeling, Julie von, f. von Solawa","Schmeling, Julie von, f. von Solawa (1792–1856)",1,
HCAP08335,Reg0112540,exact_name,"Schmettau, Alexander Wilhelm, Rigsgreve","Schmettau, Alexander Wilhelm, Rigsgreve (1807–1891)",1,
HCAP08336,Reg0112550,exact_name,"Schmettau, Christian Ludvig Leopold von, Rigsgreve","Schmettau, Christian Ludvig Leopold von, Rigsgreve (1806–1878)",2,
HCAP08337,Reg0112560,exact_name,"Schmettau, Eleonore Dorothea Elisabeth, Rigsgrevinde","Schmettau, Eleonore Dorothea Elisabeth, Rigsgrevinde (1802–1874)",0,
HCAP08338,Reg0112580,exact_name,"Schmezer, Friedrich","Schmezer, Friedrich (1807–1877)",1,
HCAP08339,Reg0112590,exact_name,"Schmid, Frue","Schmid, Frue",1,
HCAP08340,Reg0112600,exact_name,"Schmid, Karl","Schmid, Karl (1825–1873)",1,
HCAP08341,Reg0112610,exact_name,"Schmid von Baer, Heinrich","Schmid von Baer, Heinrich (1801–1874)",0,
HCAP08342,,ambiguous,Schmidt,,0,
HCAP08343,Reg0112630,name_and_overlap,Schmidt,Schmidt,1,
HCAP08344,Reg0112670,exact_name,"Schmidt, Frøken","Schmidt, Frøken",1,
HCAP08345,,ambiguous,Schmidt,,0,
HCAP08346,Reg0112690,exact_name,"Schmidt, Sergent","Schmidt, Sergent",1,
HCAP08348,Reg0112710,exact_name,"Schmidt, Andreas","Schmidt, Andreas",1,
HCAP08349,Reg0112720,exact_name,"Schmidt, Christian","Schmidt, Christian (1822–1865)",11,
HCAP08350,Reg0112740,exact_name,"Schmidt, Emilie (Emmy)","Schmidt, Emilie (Emmy) (1831–1915)",2,
HCAP08351,Reg0112750,exact_name,"Schmidt, Ferdinand","Schmidt, Ferdinand (1833–1893)",0,
HCAP08352,Reg0112760,exact_name,"Schmidt (Schmith), Jens Johansen","Schmidt (Schmith), Jens Johansen (1834–1907)",0,
