entity_id,entity_type,category_h1,genre_h2,form_h3,subform_h4,label,description,see,see_also,year_derived,date_derived,person_derived
Reg000649,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),De røde Skoe,,,,,,
Reg000750,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den sidste Perle,,,,,,
Reg003018,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Skarnbassen,,,,,,
Reg003029,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Skrubtudsen,,,,,,
Reg003032,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Skyggen,,,,,,
Reg000651,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),De smaa Grønne,,,,,,
Reg003047,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Sneedronningen,,,,,,
Reg003048,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Sneemanden,,,,,,
Reg003050,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Sneglen og Rosenhækken,,,,,,
Reg003060,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Solskinsbistorier,,,,,,
Reg003061,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Sommerfuglen,,,,,,
Reg003063,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Sommergjækken,,,,,,
Reg003084,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Springfyrene,,,,,,
Reg003675,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),»Spørg Amagermo'er«,,,,,,
Reg000755,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den standhaftige Tinsoldat,,,,,,
Reg003108,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Stoppenaalen,,,,,,
Reg000756,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den store Søslange,,,,,,
Reg003113,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Stormen flytter Skilt,,,,,,
Reg000757,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Den stumme Bog,,,,,,
Reg001214,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Et Stykke Perlesnor,,,,,,
Reg003132,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Suppe paa en Pølsepind,,,,,,
Reg003139,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Svanereden,,,,,,
Reg003144,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Svinedrengen,,,,,,
Reg003145,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Svinene (»I Sverrig«),,,,,,
Reg003167,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Sølvskillingen,,,,,,
Reg003179,work,VÆRK-REGISTER,H. C. ANDERSEN,Eventyr,Enkelte Eventyr (alfabetisk),Taarnvægteren Ole,,,,,,
