entity_id,label,matched_form,nationality_key,nationality_label,category,position_index,position_type,match_type,referent_hint,description
Reg0111720,Scheller,Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Kontorist, Det danske Konsulat i Barcelona September 1862."
Reg0111720,Scheller,danske,dansk,Dansk,national,3,embedded,single,possible_institution,"Tysk Kontorist, Det danske Konsulat i Barcelona September 1862."
Reg0111760,"Schelling, Friedrich Wilhelm (1775–1854)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Filosof.
Reg0111830,Scherini,sachsiske,sachsisk,Sachsisk,german_state,0,leading,single,subject,"sachsiske Officerer, Svogere til Carl Serre, Maxen 20.5.1854."
Reg0111840,"Scherr, Johannes (1817–1886)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Litteratur- og Kulturhistoriker.
Reg0111870,"Schidone, Bartolommeo (ca. 1570–1614)",Italiensk,italiensk,Italiensk,national,0,leading,single,subject,Italiensk Maler.
Reg0111910,"Schierbeck, Herman (1833–1912)",dansk,dansk,Dansk,national,4,embedded,single,unclear,"Broder til Chr. S., dansk Købmand i Barcelona, Bank- og Jernbanedirektør, 1881 dansk Konsul sst., Etatsraad."
Reg0111910,"Schierbeck, Herman (1833–1912)",dansk,dansk,Dansk,national,11,embedded,single,unclear,"Broder til Chr. S., dansk Købmand i Barcelona, Bank- og Jernbanedirektør, 1881 dansk Konsul sst., Etatsraad."
Reg0111980,"Schill, Ferdinand von (1774–1809)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Major, Frikorpsfører."
Reg0112000,"Schiller, Friedrich von (1759–1805)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Digter.
Reg0112010,"Schiller, Friedrich Ludwig Ernst von, Friherre (1826–1877)",østrigsk,østrigsk,Østrigsk,national,6,embedded,single,unclear,"Digterens Sønnesøn, Hauptmann, senere Major i østrigsk Tjeneste."
Reg0112060,"Schimmelpenninck van der Oije, Alexander, Baron (1796–1877)",hollandsk,hollandsk,Hollandsk,national,0,leading,single,subject,1823–25 hollandsk Legationssekretær i København.
Reg0112090,"Schirach, Wilhelm von (1779–1866)",holstenske,holstensk,Holstensk,border_region,3,embedded,single,possible_institution,"Director for den holstenske Overret i Glückstadt, Konferensraad."
Reg0112120,"Schirmer, Heinrich Ernst (1814–1887)",Norsk,norsk,Norsk,national,0,leading,single,subject,Norsk Arkitekt.
Reg0112130,"Schirmer, Johann Wilhelm (1807–1863)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Maler, Professor i Düsseldorf, senere i Karlsruhe."
Reg0112240,"Schlegel, August Wilhelm (1767–1845)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Forfatter og Oversætter.
Reg0112290,"Schleich, Martin",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Dialektforfatter.
Reg0112300,Schleiermacher,tysk,tysk,Tysk,national,2,embedded,single,unclear,"fra Darmstadt, tysk Rejsende, Mola di Gaeta 27.2.1841."
Reg0112310,"Schleiermacher, Friedrich Daniel Ernst (1768–1834)",Tysk,tysk,Tysk,national,0,leading,single,subject,Tysk Theolog.
Reg0112360,"Schlesinger, Jakob (1792–1855)",Tysk,tysk,Tysk,national,0,leading,single,subject,"Tysk Maler, Professor ved Kunstakademiet i Berlin."
Reg0112400,"Schley, Ludolph (1798–1859)",Svensk,svensk,Svensk,national,0,leading,single,subject,"Svensk Konsulatssekretær i Libau, 1845 svensknorsk Konsul sst., tysk Forfatter og Oversætter."
Reg0112400,"Schley, Ludolph (1798–1859)",svensknorsk (part: svensk),svensk,Svensk,national,4,embedded,solid_compound,unclear,"Svensk Konsulatssekretær i Libau, 1845 svensknorsk Konsul sst., tysk Forfatter og Oversætter."
Reg0112400,"Schley, Ludolph (1798–1859)",svensknorsk (part: norsk),norsk,Norsk,national,4,embedded,solid_compound,unclear,"Svensk Konsulatssekretær i Libau, 1845 svensknorsk Konsul sst., tysk Forfatter og Oversætter."
